"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"78","12","6",13,4,7,1,6,4,3,0,5,4,3,2,3,1,0,0,41,18,59,13,7,22.0338983050847,11.864406779661,30.5084745762712,69.4915254237288
"79","13","1",2,6,7,9,4,10,5,12,6,10,7,7,12,4,12,14,56,74,130,16,17,12.3076923076923,13.0769230769231,56.9230769230769,43.0769230769231
"80","13","2",30,7,5,8,7,5,5,5,7,6,6,2,6,3,5,4,73,41,114,34,11,29.8245614035088,9.64912280701754,35.9649122807018,64.0350877192982
"81","13","3",11,9,6,8,7,6,4,11,8,5,7,7,6,8,10,6,62,60,122,17,13,13.9344262295082,10.655737704918,49.1803278688525,50.8196721311475
"82","13","4",4,8,7,8,8,8,11,4,8,7,9,7,6,8,4,2,59,53,112,6,17,5.35714285714286,15.1785714285714,47.3214285714286,52.6785714285714
"83","13","5",5,6,5,6,6,10,5,4,6,5,11,3,4,5,4,5,48,45,93,10,21,10.752688172043,22.5806451612903,48.3870967741936,51.6129032258064
"84","13","6",8,4,8,4,5,13,5,2,4,8,10,3,7,0,2,0,51,35,86,8,23,9.30232558139535,26.7441860465116,40.6976744186046,59.3023255813954
"85","14","1",0,1,2,0,1,9,1,1,0,1,9,2,0,2,1,4,17,20,37,4,18,10.8108108108108,48.6486486486486,54.0540540540541,45.9459459459459
"86","14","2",2,6,6,3,6,10,3,3,5,4,10,3,3,3,3,1,41,33,74,3,20,4.05405405405405,27.027027027027,44.5945945945946,55.4054054054054
"87","14","3",2,5,18,2,19,261,13,2,5,15,262,13,1,14,2,0,324,313,637,2,523,0.313971742543171,82.1036106750392,49.1365777080063,50.8634222919937
"88","14","4",0,2,18,0,18,564,18,3,2,16,565,21,0,21,3,0,625,629,1254,0,1129,0,90.0318979266348,50.1594896331738,49.8405103668262
"89","14","5",0,1,14,0,13,595,12,0,0,13,595,12,0,12,0,0,637,633,1270,0,1190,0,93.7007874015748,49.8425196850394,50.1574803149606
"90","14","6",0,0,24,0,24,537,25,0,0,24,537,25,0,25,0,0,611,613,1224,0,1074,0,87.7450980392157,50.0816993464052,49.9183006535948
"91","15","1",9,6,10,2,7,17,7,4,6,5,14,9,4,6,4,2,63,52,115,11,31,9.56521739130435,26.9565217391304,45.2173913043478,54.7826086956522
"92","15","2",4,4,11,3,10,10,5,2,4,10,9,5,4,3,2,7,50,46,96,11,19,11.4583333333333,19.7916666666667,47.9166666666667,52.0833333333333
"93","15","3",4,5,3,3,3,4,6,2,4,1,5,5,2,6,2,5,32,31,63,9,9,14.2857142857143,14.2857142857143,49.2063492063492,50.7936507936508
"94","15","4",0,1,1,4,1,25,6,1,1,4,25,3,3,4,1,1,40,44,84,1,50,1.19047619047619,59.5238095238095,52.3809523809524,47.6190476190476
"95","15","5",0,0,0,1,1,26,1,0,0,1,26,0,0,1,0,0,30,30,60,0,52,0,86.6666666666667,50,50
"96","15","6",1,1,1,2,3,20,2,0,1,2,22,0,0,2,0,0,32,28,60,1,42,1.66666666666667,70,46.6666666666667,53.3333333333333
"97","16","1",0,1,4,2,2,17,7,2,1,5,15,7,4,5,2,2,36,43,79,2,32,2.53164556962025,40.5063291139241,54.4303797468354,45.5696202531646
"98","16","2",8,8,8,5,5,18,12,1,8,6,15,8,8,5,1,0,67,52,119,8,33,6.72268907563025,27.7310924369748,43.6974789915966,56.3025210084034
"99","16","3",11,8,10,3,10,13,5,0,8,5,12,2,3,2,0,0,61,34,95,11,25,11.5789473684211,26.3157894736842,35.7894736842105,64.2105263157895
"100","16","4",12,7,8,5,11,8,7,0,7,6,11,2,2,5,0,0,61,33,94,12,19,12.7659574468085,20.2127659574468,35.1063829787234,64.8936170212766
"101","16","5",16,7,9,3,7,7,4,2,7,5,5,3,5,1,2,0,56,30,86,16,12,18.6046511627907,13.953488372093,34.8837209302326,65.1162790697674
"102","16","6",17,8,7,5,7,2,6,1,9,4,2,1,6,1,1,2,56,26,82,19,4,23.1707317073171,4.8780487804878,31.7073170731707,68.2926829268293
"103","17","1",4,2,4,4,5,4,4,0,2,6,5,1,2,2,0,0,28,20,48,4,9,8.33333333333333,18.75,41.6666666666667,58.3333333333333
