000:03:15.200,Info,Arena,1,Enter_Zone,1
000:03:15.334,Info,Arena,2,Exit_Zone,1
000:03:15.334,Info,Arena,2,Enter_Zone,4
000:03:16.834,Info,Arena,2,Exit_Zone,4
000:03:16.834,Info,Arena,2,Enter_Zone,1
000:03:18.999,Info,Arena,2,Exit_Zone,1
000:03:18.999,Info,Arena,2,Enter_Zone,4
000:03:19.468,Info,Arena,2,Exit_Zone,4
000:03:19.468,Info,Arena,2,Enter_Zone,3
000:03:23.698,Info,Arena,1,Exit_Zone,1
000:03:23.698,Info,Arena,1,Enter_Zone,4
000:03:24.069,Info,Arena,2,Exit_Zone,3
000:03:24.069,Info,Arena,2,Enter_Zone,4
000:03:24.165,Info,Arena,1,Exit_Zone,4
000:03:24.165,Info,Arena,1,Enter_Zone,2
000:03:24.331,Info,Arena,1,Exit_Zone,2
000:03:24.331,Info,Arena,1,Enter_Zone,4
000:03:24.433,Info,Arena,2,Exit_Zone,4
000:03:24.433,Info,Arena,2,Enter_Zone,1
000:03:25.099,Info,Arena,1,Exit_Zone,4
000:03:25.099,Info,Arena,1,Enter_Zone,3
000:03:27.236,Info,Arena,2,Exit_Zone,1
000:03:27.236,Info,Arena,2,Enter_Zone,4
000:03:27.531,Info,Arena,2,Exit_Zone,4
000:03:27.531,Info,Arena,2,Enter_Zone,3
000:03:28.664,Info,Arena,1,Exit_Zone,3
000:03:28.664,Info,Arena,1,Enter_Zone,4
000:03:29.664,Info,Arena,1,Exit_Zone,4
000:03:29.664,Info,Arena,1,Enter_Zone,2
000:03:30.530,Info,Arena,1,Exit_Zone,2
000:03:30.530,Info,Arena,1,Enter_Zone,4
000:03:30.835,Info,Arena,1,Exit_Zone,4
000:03:30.835,Info,Arena,1,Enter_Zone,2
000:03:33.067,Info,Arena,1,Exit_Zone,2
000:03:33.067,Info,Arena,1,Enter_Zone,4
000:03:34.163,Info,Arena,1,Exit_Zone,4
000:03:34.163,Info,Arena,1,Enter_Zone,1
000:03:36.996,Info,Arena,2,Exit_Zone,3
000:03:36.996,Info,Arena,2,Enter_Zone,4
000:03:37.529,Info,Arena,2,Exit_Zone,4
000:03:37.529,Info,Arena,2,Enter_Zone,1
000:03:37.630,Info,Arena,2,Exit_Zone,1
000:03:37.630,Info,Arena,2,Enter_Zone,4
000:03:38.234,Info,Arena,2,Exit_Zone,4
000:03:38.234,Info,Arena,2,Enter_Zone,1
000:03:39.630,Info,Arena,2,Exit_Zone,1
000:03:39.630,Info,Arena,2,Enter_Zone,4
000:03:39.995,Info,Arena,2,Exit_Zone,4
000:03:39.995,Info,Arena,2,Enter_Zone,3
000:03:44.594,Info,Arena,1,Exit_Zone,1
000:03:44.594,Info,Arena,1,Enter_Zone,4
000:03:45.461,Info,Arena,1,Exit_Zone,4
000:03:45.461,Info,Arena,1,Enter_Zone,3
000:03:45.898,Info,Arena,2,Exit_Zone,3
000:03:45.898,Info,Arena,2,Enter_Zone,4
000:03:46.161,Info,Arena,2,Exit_Zone,4
000:03:46.161,Info,Arena,2,Enter_Zone,1
000:03:48.660,Info,Arena,2,Exit_Zone,1
000:03:48.660,Info,Arena,2,Enter_Zone,4
000:03:49.160,Info,Arena,2,Exit_Zone,4
000:03:49.160,Info,Arena,2,Enter_Zone,3
000:03:51.593,Info,Arena,2,Exit_Zone,3
